"","","/表章事項","人口【人】","人口【人】","人口【人】"
"時間軸（年次）","全国，都道府県，市区町村（2000年市区町村含む）","/男女","総数","男","女"
"2020年","広尾町","","6,387","3,096","3,291"
"2020年","幕別町","","25,766","12,243","13,523"
"2020年","（旧：忠類村）","","1,427","698","729"
"2020年","（旧：幕別町）","","24,339","11,545","12,794"
"2020年","池田町","","6,294","2,967","3,327"
"2020年","豊頃町","","3,022","1,478","1,544"
"2020年","本別町","","6,618","3,228","3,390"
"2020年","足寄町","","6,563","3,215","3,348"
"2020年","陸別町","","2,264","1,138","1,126"
"2020年","浦幌町","","4,387","2,138","2,249"
"2020年","釧路町","","19,105","9,101","10,004"
"2020年","厚岸町","","8,892","4,173","4,719"
"2020年","浜中町","","5,507","2,726","2,781"
"2020年","標茶町","","7,230","3,471","3,759"
"2020年","弟子屈町","","6,955","3,314","3,641"
"2020年","鶴居村","","2,558","1,254","1,304"
"2020年","白糠町","","7,289","3,414","3,875"
"2020年","別海町","","14,380","7,286","7,094"
"2020年","中標津町","","23,010","11,339","11,671"
"2020年","標津町","","5,023","2,465","2,558"
"2020年","羅臼町","","4,722","2,346","2,376"
"2020年","青森県","","1,237,984","583,402","654,582"
"2020年","青森市","","275,192","128,049","147,143"
"2020年","（旧：青森市）","","258,064","119,995","138,069"
"2020年","（旧：浪岡町）","","17,128","8,054","9,074"
"2020年","弘前市","","168,466","77,251","91,215"
"2020年","（旧：弘前市）","","155,163","71,163","84,000"
"2020年","（旧：岩木町）","","10,187","4,657","5,530"
"2020年","（旧：相馬村）","","3,116","1,431","1,685"
"2020年","八戸市","","223,415","106,818","116,597"
"2020年","（旧：八戸市）","","218,718","104,564","114,154"
"2020年","（旧：南郷村）","","4,697","2,254","2,443"
"2020年","黒石市","","31,946","14,789","17,157"
"2020年","五所川原市","","51,415","23,252","28,163"
"2020年","（旧：五所川原市）","","41,926","18,975","22,951"
"2020年","（旧：金木町）","","7,699","3,449","4,250"
"2020年","（旧：市浦村）","","1,790","828","962"
"2020年","十和田市","","60,378","28,685","31,693"
"2020年","（旧：十和田市）","","56,695","26,914","29,781"
"2020年","（旧：十和田湖町）","","3,683","1,771","1,912"
"2020年","三沢市","","39,152","19,602","19,550"
"2020年","むつ市","","54,103","26,104","27,999"
"2020年","（旧：むつ市）","","43,574","21,297","22,277"
"2020年","（旧：川内町）","","3,332","1,570","1,762"
"2020年","（旧：大畑町）","","5,976","2,695","3,281"
"2020年","（旧：脇野沢村）","","1,221","542","679"
"2020年","つがる市","","30,934","14,363","16,571"
"2020年","（旧：木造町）","","14,270","6,563","7,707"
"2020年","（旧：森田村）","","3,918","1,848","2,070"
"2020年","（旧：柏村）","","5,122","2,356","2,766"
"2020年","（旧：稲垣村）","","3,493","1,580","1,913"
"2020年","（旧：車力村）","","4,131","2,016","2,115"
"2020年","平川市","","30,567","14,188","16,379"
"2020年","（旧：尾上町）","","9,063","4,200","4,863"
"2020年","（旧：平賀町）","","19,320","9,016","10,304"
"2020年","（旧：碇ケ関村）","","2,184","972","1,212"
"2020年","平内町","","10,126","4,818","5,308"
"2020年","今別町","","2,334","1,119","1,215"
"2020年","蓬田村","","2,540","1,211","1,329"
"2020年","外ヶ浜町","","5,401","2,527","2,874"
"2020年","（旧：蟹田町）","","2,610","1,181","1,429"
"2020年","（旧：平舘村）","","1,347","663","684"
"2020年","（旧：三厩村）","","1,444","683","761"
"2020年","鰺ヶ沢町","","9,044","4,145","4,899"
"2020年","深浦町","","7,346","3,397","3,949"
"2020年","（旧：深浦町）","","5,660","2,630","3,030"
"2020年","（旧：岩崎村）","","1,686","767","919"
"2020年","西目屋村","","1,265","589","676"
"2020年","藤崎町","","14,573","6,748","7,825"
"2020年","（旧：藤崎町）","","8,655","3,993","4,662"
"2020年","（旧：常盤村）","","5,918","2,755","3,163"
"2020年","大鰐町","","8,665","3,934","4,731"
"2020年","田舎館村","","7,326","3,425","3,901"
"2020年","板柳町","","12,700","5,806","6,894"
"2020年","鶴田町","","12,074","5,553","6,521"
"2020年","中泊町","","9,657","4,432","5,225"
"2020年","（旧：中里町）","","7,250","3,313","3,937"
"2020年","（旧：小泊村）","","2,407","1,119","1,288"
"2020年","野辺地町","","12,374","5,776","6,598"
"2020年","七戸町","","14,556","6,964","7,592"
"2020年","（旧：七戸町）","","8,166","3,886","4,280"
"2020年","（旧：天間林村）","","6,390","3,078","3,312"
"2020年","六戸町","","10,447","5,084","5,363"
"2020年","横浜町","","4,229","2,071","2,158"
"2020年","東北町","","16,428","7,846","8,582"
"2020年","（旧：上北町）","","8,368","3,985","4,383"
"2020年","（旧：東北町）","","8,060","3,861","4,199"
"2020年","六ヶ所村","","10,367","5,910","4,457"
"2020年","おいらせ町","","24,273","11,627","12,646"
"2020年","（旧：百石町）","","8,548","4,070","4,478"
"2020年","（旧：下田町）","","15,725","7,557","8,168"
"2020年","大間町","","4,718","2,375","2,343"
"2020年","東通村","","5,955","3,162","2,793"
"2020年","風間浦村","","1,636","779","857"
"2020年","佐井村","","1,788","883","905"
"2020年","三戸町","","9,082","4,288","4,794"
"2020年","五戸町","","16,042","7,676","8,366"
"2020年","（旧：五戸町）","","13,459","6,468","6,991"
"2020年","（旧：倉石村）","","2,583","1,208","1,375"
"2020年","田子町","","4,968","2,376","2,592"
"2020年","南部町","","16,809","7,884","8,925"
"2020年","（旧：名川町）","","6,761","3,204","3,557"
"2020年","（旧：南部町）","","4,325","2,037","2,288"
"2020年","（旧：福地村）","","5,723","2,643","3,080"
"2020年","階上町","","13,496","6,827","6,669"
"2020年","新郷村","","2,197","1,069","1,128"
"2020年","岩手県","","1,210,534","582,952","627,582"
"2020年","盛岡市","","289,731","136,919","152,812"
"2020年","（旧：盛岡市）","","278,398","131,484","146,914"
"2020年","（旧：玉山村）","","11,333","5,435","5,898"
"2020年","宮古市","","50,369","24,381","25,988"
"2020年","（旧：宮古市）","","43,162","20,836","22,326"
"2020年","（旧：田老町）","","2,729","1,331","1,398"
"2020年","（旧：新里村）","","2,419","1,185","1,234"
"2020年","（旧：川井村）","","2,059","1,029","1,030"
"2020年","大船渡市","","34,728","16,679","18,049"
"2020年","（旧：大船渡市）","","29,171","13,985","15,186"
"2020年","（旧：三陸町）","","5,557","2,694","2,863"
"2020年","花巻市","","93,193","44,423","48,770"
"2020年","（旧：花巻市）","","67,147","32,109","35,038"
"2020年","（旧：大迫町）","","4,686","2,230","2,456"
"2020年","（旧：石鳥谷町）","","13,484","6,344","7,140"
"2020年","（旧：東和町）","","7,876","3,740","4,136"
"2020年","北上市","","93,045","46,852","46,193"
"2020年","久慈市","","33,043","15,883","17,160"
"2020年","（旧：久慈市）","","30,830","14,832","15,998"
"2020年","（旧：山形村）","","2,213","1,051","1,162"
"2020年","遠野市","","25,366","12,222","13,144"
"2020年","（旧：遠野市）","","21,452","10,362","11,090"
"2020年","（旧：宮守村）","","3,914","1,860","2,054"
"2020年","一関市","","111,932","54,254","57,678"
"2020年","（旧：一関市）","","55,942","26,989","28,953"
"2020年","（旧：花泉町）","","12,167","5,864","6,303"
"2020年","（旧：大東町）","","12,318","6,007","6,311"
"2020年","（旧：藤沢町）","","7,331","3,621","3,710"
"2020年","（旧：千厩町）","","10,139","4,997","5,142"
"2020年","（旧：東山町）","","6,161","2,962","3,199"
"2020年","（旧：室根村）","","4,550","2,175","2,375"
"2020年","（旧：川崎村）","","3,324","1,639","1,685"
"2020年","陸前高田市","","18,262","8,831","9,431"
"2020年","釜石市","","32,078","15,369","16,709"
"2020年","二戸市","","25,513","11,993","13,520"
"2020年","（旧：二戸市）","","21,920","10,281","11,639"
"2020年","（旧：浄法寺町）","","3,593","1,712","1,881"
"2020年","八幡平市","","24,023","11,509","12,514"
"2020年","（旧：西根町）","","14,629","7,044","7,585"
"2020年","（旧：松尾村）","","5,342","2,536","2,806"
"2020年","（旧：安代町）","","4,052","1,929","2,123"
"2020年","奥州市","","112,937","54,840","58,097"
"2020年","（旧：水沢市）","","54,787","26,405","28,382"
"2020年","（旧：江刺市）","","26,945","13,264","13,681"
"2020年","（旧：前沢町）","","12,933","6,298","6,635"
"2020年","（旧：胆沢町）","","14,536","7,068","7,468"
"2020年","（旧：衣川村）","","3,736","1,805","1,931"
"2020年","滝沢市","","55,579","27,146","28,433"
"2020年","（旧：滝沢村）","","55,579","27,146","28,433"
"2020年","雫石町","","15,731","7,505","8,226"
"2020年","葛巻町","","5,634","2,731","2,903"
"2020年","岩手町","","12,285","5,970","6,315"
"2020年","紫波町","","32,147","15,390","16,757"
"2020年","矢巾町","","28,056","13,337","14,719"
"2020年","西和賀町","","5,134","2,380","2,754"
"2020年","（旧：湯田町）","","2,572","1,183","1,389"
"2020年","（旧：沢内村）","","2,562","1,197","1,365"
"2020年","金ケ崎町","","15,535","8,030","7,505"
"2020年","平泉町","","7,252","3,500","3,752"
"2020年","住田町","","5,045","2,470","2,575"
"2020年","大槌町","","11,004","5,234","5,770"
"2020年","山田町","","14,320","6,898","7,422"
"2020年","岩泉町","","8,726","4,327","4,399"
"2020年","田野畑村","","3,059","1,527","1,532"
"2020年","普代村","","2,487","1,244","1,243"
"2020年","軽米町","","8,421","4,090","4,331"
"2020年","野田村","","3,936","1,863","2,073"
"2020年","九戸村","","5,378","2,556","2,822"
"2020年","洋野町","","15,091","7,101","7,990"
"2020年","（旧：種市町）","","10,431","4,852","5,579"
"2020年","（旧：大野村）","","4,660","2,249","2,411"
"2020年","一戸町","","11,494","5,498","5,996"
"2020年","宮城県","","2,301,996","1,122,598","1,179,398"
"2020年","仙台市","","1,096,704","531,617","565,087"
"2020年","仙台市青葉区","","311,590","150,932","160,658"
"2020年","仙台市宮城野区","","196,732","96,341","100,391"
"2020年","仙台市若林区","","141,475","69,633","71,842"
"2020年","仙台市太白区","","234,758","112,968","121,790"
"2020年","仙台市泉区","","212,149","101,743","110,406"
"2020年","石巻市","","140,151","68,338","71,813"
"2020年","（旧：石巻市）","","99,904","48,687","51,217"
"2020年","（旧：河北町）","","9,878","4,809","5,069"
"2020年","（旧：雄勝町）","","1,031","484","547"
"2020年","（旧：河南町）","","18,481","8,933","9,548"
"2020年","（旧：桃生町）","","6,629","3,282","3,347"
"2020年","（旧：北上町）","","2,135","1,045","1,090"
"2020年","（旧：牡鹿町）","","2,093","1,098","995"
"2020年","塩竈市","","52,203","24,877","27,326"
"2020年","気仙沼市","","61,147","29,905","31,242"
"2020年","（旧：気仙沼市）","","46,207","22,659","23,548"
"2020年","（旧：本吉町）","","9,294","4,516","4,778"
"2020年","（旧：唐桑町）","","5,646","2,730","2,916"
"2020年","白石市","","32,758","15,976","16,782"
"2020年","名取市","","78,718","38,567","40,151"
"2020年","角田市","","27,976","13,797","14,179"
"2020年","多賀城市","","62,827","31,359","31,468"
"2020年","岩沼市","","44,068","21,684","22,384"
"2020年","登米市","","76,037","37,163","38,874"
"2020年","（旧：迫町）","","19,741","9,668","10,073"
"2020年","（旧：登米町）","","4,532","2,167","2,365"
"2020年","（旧：東和町）","","5,760","2,835","2,925"
"2020年","（旧：中田町）","","15,243","7,418","7,825"
"2020年","（旧：豊里町）","","6,332","3,102","3,230"
"2020年","（旧：米山町）","","8,528","4,210","4,318"
"2020年","（旧：石越町）","","4,588","2,270","2,318"
"2020年","（旧：南方町）","","8,288","4,049","4,239"
"2020年","（旧：津山町）","","3,025","1,444","1,581"
"2020年","栗原市","","64,637","31,134","33,503"
"2020年","（旧：築館町）","","13,180","6,503","6,677"
"2020年","（旧：若柳町）","","11,434","5,422","6,012"
"2020年","（旧：栗駒町）","","9,859","4,769","5,090"
"2020年","（旧：高清水町）","","3,484","1,623","1,861"
"2020年","（旧：一迫町）","","6,736","3,228","3,508"
"2020年","（旧：瀬峰町）","","4,145","1,986","2,159"
"2020年","（旧：鶯沢町）","","2,079","964","1,115"
"2020年","（旧：金成町）","","6,284","3,049","3,235"
"2020年","（旧：志波姫町）","","6,536","3,154","3,382"
"2020年","（旧：花山村）","","900","436","464"
"2020年","東松島市","","39,098","19,089","20,009"
"2020年","（旧：矢本町）","","31,035","15,149","15,886"
"2020年","（旧：鳴瀬町）","","8,063","3,940","4,123"
"2020年","大崎市","","127,330","62,429","64,901"
"2020年","（旧：古川市）","","77,694","38,219","39,475"
"2020年","（旧：松山町）","","5,663","2,726","2,937"
"2020年","（旧：三本木町）","","7,468","3,728","3,740"
"2020年","（旧：鹿島台町）","","11,241","5,399","5,842"
"2020年","（旧：岩出山町）","","9,852","4,823","5,029"
"2020年","（旧：鳴子町）","","5,368","2,562","2,806"
"2020年","（旧：田尻町）","","10,044","4,972","5,072"
"2020年","富谷市","","51,651","25,091","26,560"
"2020年","（旧：富谷町）","","51,651","25,091","26,560"
"2020年","蔵王町","","11,418","5,569","5,849"
"2020年","七ヶ宿町","","1,262","620","642"
"2020年","大河原町","","23,571","11,530","12,041"
"2020年","村田町","","10,666","5,293","5,373"
"2020年","柴田町","","38,271","19,342","18,929"
"2020年","川崎町","","8,345","4,100","4,245"
"2020年","丸森町","","12,262","6,117","6,145"
"2020年","亘理町","","33,087","16,212","16,875"
"2020年","山元町","","12,046","5,978","6,068"
"2020年","松島町","","13,323","6,414","6,909"
"2020年","七ヶ浜町","","18,132","9,024","9,108"
"2020年","利府町","","35,182","17,162","18,020"
"2020年","大和町","","28,786","14,979","13,807"
"2020年","大郷町","","7,813","3,814","3,999"
"2020年","大衡村","","5,849","2,938","2,911"
"2020年","色麻町","","6,698","3,246","3,452"
"2020年","加美町","","21,943","10,767","11,176"
"2020年","（旧：中新田町）","","12,038","5,899","6,139"
"2020年","（旧：小野田町）","","5,639","2,812","2,827"
"2020年","（旧：宮崎町）","","4,266","2,056","2,210"
"2020年","涌谷町","","15,388","7,520","7,868"
"2020年","美里町","","23,994","11,616","12,378"
"2020年","（旧：小牛田町）","","18,728","9,095","9,633"
"2020年","（旧：南郷町）","","5,266","2,521","2,745"
"2020年","女川町","","6,430","3,351","3,079"
"2020年","南三陸町","","12,225","5,980","6,245"
"2020年","（旧：志津川町）","","8,132","3,940","4,192"
"2020年","（旧：歌津町）","","4,093","2,040","2,053"
"2020年","秋田県","","959,502","452,439","507,063"
"2020年","秋田市","","307,672","145,411","162,261"
"2020年","（旧：秋田市）","","294,392","139,065","155,327"
"2020年","（旧：河辺町）","","7,819","3,673","4,146"
"2020年","（旧：雄和町）","","5,461","2,673","2,788"
"2020年","能代市","","49,968","22,932","27,036"
"2020年","（旧：能代市）","","42,117","19,323","22,794"
"2020年","（旧：二ツ井町）","","7,851","3,609","4,242"
"2020年","横手市","","85,555","40,326","45,229"
"2020年","（旧：横手市）","","34,797","16,422","18,375"
"2020年","（旧：増田町）","","6,309","2,984","3,325"
"2020年","（旧：平鹿町）","","11,449","5,336","6,113"
"2020年","（旧：雄物川町）","","8,279","3,916","4,363"
"2020年","（旧：大森町）","","5,634","2,583","3,051"
"2020年","（旧：十文字町）","","11,756","5,580","6,176"
"2020年","（旧：山内村）","","3,006","1,432","1,574"
"2020年","（旧：大雄村）","","4,325","2,073","2,252"
"2020年","大館市","","69,237","32,551","36,686"
"2020年","（旧：大館市）","","54,812","25,668","29,144"
"2020年","（旧：比内町）","","8,926","4,260","4,666"
"2020年","（旧：田代町）","","5,499","2,623","2,876"
"2020年","男鹿市","","25,154","11,860","13,294"
"2020年","（旧：男鹿市）","","20,409","9,598","10,811"
"2020年","（旧：若美町）","","4,745","2,262","2,483"
"2020年","湯沢市","","42,091","20,115","21,976"
"2020年","（旧：湯沢市）","","26,425","12,566","13,859"
"2020年","（旧：稲川町）","","7,485","3,590","3,895"
"2020年","（旧：雄勝町）","","6,183","2,986","3,197"
"2020年","（旧：皆瀬村）","","1,998","973","1,025"
"2020年","鹿角市","","29,088","13,684","15,404"
"2020年","由利本荘市","","74,707","35,842","38,865"
"2020年","（旧：本荘市）","","41,923","20,195","21,728"
"2020年","（旧：矢島町）","","4,059","1,932","2,127"
"2020年","（旧：岩城町）","","5,099","2,382","2,717"
"2020年","（旧：由利町）","","4,228","1,993","2,235"
