"","","/表章事項","人口【人】","人口【人】","人口【人】"
"時間軸（年次）","全国，都道府県，市区町村（2000年市区町村含む）","/男女","総数","男","女"
"2020年","（旧：西目町）","","5,669","2,694","2,975"
"2020年","（旧：鳥海町）","","4,018","1,933","2,085"
"2020年","（旧：東由利町）","","2,985","1,459","1,526"
"2020年","（旧：大内町）","","6,726","3,254","3,472"
"2020年","潟上市","","31,720","14,967","16,753"
"2020年","（旧：昭和町）","","6,738","3,092","3,646"
"2020年","（旧：飯田川町）","","3,826","1,764","2,062"
"2020年","（旧：天王町）","","21,156","10,111","11,045"
"2020年","大仙市","","77,657","36,287","41,370"
"2020年","（旧：大曲市）","","35,180","16,458","18,722"
"2020年","（旧：神岡町）","","4,759","2,170","2,589"
"2020年","（旧：西仙北町）","","7,428","3,439","3,989"
"2020年","（旧：中仙町）","","8,518","4,057","4,461"
"2020年","（旧：協和町）","","6,290","2,951","3,339"
"2020年","（旧：南外村）","","3,128","1,459","1,669"
"2020年","（旧：仙北町）","","6,644","3,101","3,543"
"2020年","（旧：太田町）","","5,710","2,652","3,058"
"2020年","北秋田市","","30,198","14,157","16,041"
"2020年","（旧：鷹巣町）","","16,805","7,907","8,898"
"2020年","（旧：森吉町）","","5,180","2,418","2,762"
"2020年","（旧：阿仁町）","","2,401","1,154","1,247"
"2020年","（旧：合川町）","","5,812","2,678","3,134"
"2020年","にかほ市","","23,435","11,218","12,217"
"2020年","（旧：仁賀保町）","","9,650","4,714","4,936"
"2020年","（旧：金浦町）","","3,785","1,764","2,021"
"2020年","（旧：象潟町）","","10,000","4,740","5,260"
"2020年","仙北市","","24,610","11,408","13,202"
"2020年","（旧：角館町）","","11,284","5,260","6,024"
"2020年","（旧：田沢湖町）","","9,286","4,304","4,982"
"2020年","（旧：西木村）","","4,040","1,844","2,196"
"2020年","小坂町","","4,780","2,232","2,548"
"2020年","上小阿仁村","","2,063","986","1,077"
"2020年","藤里町","","2,896","1,380","1,516"
"2020年","三種町","","15,254","7,034","8,220"
"2020年","（旧：琴丘町）","","4,329","1,947","2,382"
"2020年","（旧：山本町）","","5,826","2,692","3,134"
"2020年","（旧：八竜町）","","5,099","2,395","2,704"
"2020年","八峰町","","6,577","3,071","3,506"
"2020年","（旧：八森町）","","3,139","1,459","1,680"
"2020年","（旧：峰浜村）","","3,438","1,612","1,826"
"2020年","五城目町","","8,538","3,985","4,553"
"2020年","八郎潟町","","5,583","2,534","3,049"
"2020年","井川町","","4,566","2,130","2,436"
"2020年","大潟村","","3,011","1,500","1,511"
"2020年","美郷町","","18,613","8,701","9,912"
"2020年","（旧：六郷町）","","5,934","2,719","3,215"
"2020年","（旧：千畑町）","","6,426","3,048","3,378"
"2020年","（旧：仙南村）","","6,253","2,934","3,319"
"2020年","羽後町","","13,825","6,637","7,188"
"2020年","東成瀬村","","2,704","1,491","1,213"
"2020年","山形県","","1,068,027","516,438","551,589"
"2020年","山形市","","247,590","119,001","128,589"
"2020年","米沢市","","81,252","40,258","40,994"
"2020年","鶴岡市","","122,347","58,626","63,721"
"2020年","（旧：鶴岡市）","","87,894","42,151","45,743"
"2020年","（旧：藤島町）","","9,472","4,505","4,967"
"2020年","（旧：羽黒町）","","7,912","3,811","4,101"
"2020年","（旧：櫛引町）","","6,872","3,273","3,599"
"2020年","（旧：朝日村）","","3,704","1,797","1,907"
"2020年","（旧：温海町）","","6,493","3,089","3,404"
"2020年","酒田市","","100,273","47,838","52,435"
"2020年","（旧：酒田市）","","85,443","40,810","44,633"
"2020年","（旧：八幡町）","","5,225","2,469","2,756"
"2020年","（旧：松山町）","","4,011","1,869","2,142"
"2020年","（旧：平田町）","","5,594","2,690","2,904"
"2020年","新庄市","","34,432","16,446","17,986"
"2020年","寒河江市","","40,189","19,529","20,660"
"2020年","上山市","","29,110","13,909","15,201"
"2020年","村山市","","22,516","10,937","11,579"
"2020年","長井市","","26,543","12,953","13,590"
"2020年","天童市","","62,140","30,222","31,918"
"2020年","東根市","","47,682","23,525","24,157"
"2020年","尾花沢市","","14,971","7,320","7,651"
"2020年","南陽市","","30,420","14,652","15,768"
"2020年","山辺町","","13,725","6,603","7,122"
"2020年","中山町","","10,746","5,251","5,495"
"2020年","河北町","","17,641","8,528","9,113"
"2020年","西川町","","4,956","2,387","2,569"
"2020年","朝日町","","6,366","3,150","3,216"
"2020年","大江町","","7,646","3,797","3,849"
"2020年","大石田町","","6,577","3,213","3,364"
"2020年","金山町","","5,071","2,466","2,605"
"2020年","最上町","","8,080","3,913","4,167"
"2020年","舟形町","","5,007","2,420","2,587"
"2020年","真室川町","","7,203","3,408","3,795"
"2020年","大蔵村","","3,028","1,498","1,530"
"2020年","鮭川村","","3,902","1,887","2,015"
"2020年","戸沢村","","4,199","1,987","2,212"
"2020年","高畠町","","22,463","10,950","11,513"
"2020年","川西町","","14,558","7,101","7,457"
"2020年","小国町","","7,107","3,573","3,534"
"2020年","白鷹町","","12,890","6,357","6,533"
"2020年","飯豊町","","6,613","3,214","3,399"
"2020年","三川町","","7,601","3,694","3,907"
"2020年","庄内町","","20,151","9,636","10,515"
"2020年","（旧：立川町）","","4,613","2,219","2,394"
"2020年","（旧：余目町）","","15,538","7,417","8,121"
"2020年","遊佐町","","13,032","6,189","6,843"
"2020年","福島県","","1,833,152","903,864","929,288"
"2020年","福島市","","282,693","138,190","144,503"
"2020年","（旧：福島市）","","277,492","135,642","141,850"
"2020年","（旧：飯野町）","","5,201","2,548","2,653"
"2020年","会津若松市","","117,376","56,063","61,313"
"2020年","（旧：会津若松市）","","102,587","48,852","53,735"
"2020年","（旧：北会津村）","","7,163","3,486","3,677"
"2020年","（旧：河東町）","","7,626","3,725","3,901"
"2020年","郡山市","","327,692","161,830","165,862"
"2020年","いわき市","","332,931","163,525","169,406"
"2020年","白河市","","59,491","29,681","29,810"
"2020年","（旧：白河市）","","44,974","22,411","22,563"
"2020年","（旧：表郷村）","","5,891","2,951","2,940"
"2020年","（旧：東村）","","4,840","2,425","2,415"
"2020年","（旧：大信村）","","3,786","1,894","1,892"
"2020年","須賀川市","","74,992","36,781","38,211"
"2020年","（旧：須賀川市）","","65,350","31,997","33,353"
"2020年","（旧：長沼町）","","4,877","2,421","2,456"
"2020年","（旧：岩瀬村）","","4,765","2,363","2,402"
"2020年","喜多方市","","44,760","21,438","23,322"
"2020年","（旧：喜多方市）","","29,391","14,032","15,359"
"2020年","（旧：熱塩加納村）","","2,268","1,125","1,143"
"2020年","（旧：塩川町）","","8,844","4,263","4,581"
"2020年","（旧：山都町）","","2,682","1,266","1,416"
"2020年","（旧：高郷村）","","1,575","752","823"
"2020年","相馬市","","34,865","17,536","17,329"
"2020年","二本松市","","53,557","26,305","27,252"
"2020年","（旧：二本松市）","","30,194","14,824","15,370"
"2020年","（旧：安達町）","","11,834","5,779","6,055"
"2020年","（旧：岩代町）","","5,966","2,962","3,004"
"2020年","（旧：東和町）","","5,563","2,740","2,823"
"2020年","田村市","","35,169","17,320","17,849"
"2020年","（旧：滝根町）","","4,192","2,030","2,162"
"2020年","（旧：大越町）","","4,059","1,993","2,066"
"2020年","（旧：都路村）","","1,878","978","900"
"2020年","（旧：常葉町）","","4,956","2,431","2,525"
"2020年","（旧：船引町）","","20,084","9,888","10,196"
"2020年","南相馬市","","59,005","31,015","27,990"
"2020年","（旧：原町市）","","45,046","23,987","21,059"
"2020年","（旧：鹿島町）","","10,330","5,130","5,200"
"2020年","（旧：小高町）","","3,629","1,898","1,731"
"2020年","伊達市","","58,240","28,313","29,927"
"2020年","（旧：伊達町）","","11,415","5,519","5,896"
"2020年","（旧：梁川町）","","15,530","7,602","7,928"
"2020年","（旧：保原町）","","21,705","10,530","11,175"
"2020年","（旧：霊山町）","","6,601","3,223","3,378"
"2020年","（旧：月舘町）","","2,989","1,439","1,550"
"2020年","本宮市","","30,236","15,018","15,218"
"2020年","（旧：本宮町）","","22,883","11,424","11,459"
"2020年","（旧：白沢村）","","7,353","3,594","3,759"
"2020年","桑折町","","11,459","5,491","5,968"
"2020年","国見町","","8,639","4,114","4,525"
"2020年","川俣町","","12,170","5,986","6,184"
"2020年","大玉村","","8,900","4,427","4,473"
"2020年","鏡石町","","12,318","6,030","6,288"
"2020年","天栄村","","5,194","2,567","2,627"
"2020年","下郷町","","5,264","2,602","2,662"
"2020年","檜枝岐村","","504","259","245"
"2020年","只見町","","4,044","1,976","2,068"
"2020年","南会津町","","14,451","7,116","7,335"
"2020年","（旧：田島町）","","9,830","4,885","4,945"
"2020年","（旧：舘岩村）","","1,471","725","746"
"2020年","（旧：伊南村）","","1,204","563","641"
"2020年","（旧：南郷村）","","1,946","943","1,003"
"2020年","北塩原村","","2,556","1,290","1,266"
"2020年","西会津町","","5,770","2,789","2,981"
"2020年","磐梯町","","3,322","1,604","1,718"
"2020年","猪苗代町","","13,552","6,533","7,019"
"2020年","会津坂下町","","15,068","7,245","7,823"
"2020年","湯川村","","3,081","1,485","1,596"
"2020年","柳津町","","3,081","1,501","1,580"
"2020年","三島町","","1,452","714","738"
"2020年","金山町","","1,862","908","954"
"2020年","昭和村","","1,246","623","623"
"2020年","会津美里町","","19,014","9,108","9,906"
"2020年","（旧：会津高田町）","","10,905","5,225","5,680"
"2020年","（旧：会津本郷町）","","4,999","2,365","2,634"
"2020年","（旧：新鶴村）","","3,110","1,518","1,592"
"2020年","西郷村","","20,808","10,636","10,172"
"2020年","泉崎村","","6,213","3,061","3,152"
"2020年","中島村","","4,885","2,398","2,487"
"2020年","矢吹町","","17,287","8,649","8,638"
"2020年","棚倉町","","13,343","6,581","6,762"
"2020年","矢祭町","","5,392","2,620","2,772"
"2020年","塙町","","8,302","4,079","4,223"
"2020年","鮫川村","","3,049","1,531","1,518"
"2020年","石川町","","14,644","7,334","7,310"
"2020年","玉川村","","6,392","3,202","3,190"
"2020年","平田村","","5,826","2,883","2,943"
"2020年","浅川町","","6,036","3,031","3,005"
"2020年","古殿町","","4,825","2,364","2,461"
"2020年","三春町","","17,018","8,448","8,570"
"2020年","小野町","","9,471","4,677","4,794"
"2020年","広野町","","5,412","3,311","2,101"
"2020年","楢葉町","","3,710","2,147","1,563"
"2020年","富岡町","","2,128","1,542","586"
"2020年","川内村","","2,044","1,035","1,009"
"2020年","大熊町","","847","754","93"
"2020年","双葉町","","-","-","-"
"2020年","浪江町","","1,923","1,350","573"
"2020年","葛尾村","","420","241","179"
"2020年","新地町","","7,905","3,945","3,960"
"2020年","飯舘村","","1,318","662","656"
"2020年","茨城県","","2,867,009","1,430,976","1,436,033"
"2020年","水戸市","","270,685","132,537","138,148"
"2020年","（旧：水戸市）","","255,576","124,996","130,580"
"2020年","（旧：内原町）","","15,109","7,541","7,568"
"2020年","日立市","","174,508","87,126","87,382"
"2020年","（旧：日立市）","","161,158","80,601","80,557"
"2020年","（旧：十王町）","","13,350","6,525","6,825"
"2020年","土浦市","","142,074","70,935","71,139"
"2020年","（旧：土浦市）","","134,333","67,132","67,201"
"2020年","（旧：新治村）","","7,741","3,803","3,938"
"2020年","古河市","","139,344","69,735","69,609"
"2020年","（旧：古河市）","","55,214","27,037","28,177"
"2020年","（旧：総和町）","","49,830","25,361","24,469"
"2020年","（旧：三和町）","","34,300","17,337","16,963"
"2020年","石岡市","","73,061","36,167","36,894"
"2020年","（旧：石岡市）","","48,088","23,672","24,416"
"2020年","（旧：八郷町）","","24,973","12,495","12,478"
"2020年","結城市","","50,645","25,441","25,204"
"2020年","龍ケ崎市","","76,420","37,995","38,425"
"2020年","下妻市","","42,521","21,412","21,109"
"2020年","（旧：下妻市）","","33,844","17,048","16,796"
"2020年","（旧：千代川村）","","8,677","4,364","4,313"
"2020年","常総市","","60,834","30,465","30,369"
"2020年","（旧：水海道市）","","37,751","18,857","18,894"
"2020年","（旧：石下町）","","23,083","11,608","11,475"
"2020年","常陸太田市","","48,602","23,705","24,897"
"2020年","（旧：常陸太田市）","","32,754","15,924","16,830"
"2020年","（旧：金砂郷町）","","9,117","4,439","4,678"
"2020年","（旧：水府村）","","3,973","1,980","1,993"
"2020年","（旧：里美村）","","2,758","1,362","1,396"
"2020年","高萩市","","27,699","13,804","13,895"
"2020年","北茨城市","","41,801","20,760","21,041"
"2020年","笠間市","","73,173","35,783","37,390"
"2020年","（旧：笠間市）","","23,774","11,545","12,229"
"2020年","（旧：友部町）","","35,331","17,330","18,001"
"2020年","（旧：岩間町）","","14,068","6,908","7,160"
"2020年","取手市","","104,524","51,476","53,048"
"2020年","（旧：取手市）","","74,218","36,706","37,512"
"2020年","（旧：藤代町）","","30,306","14,770","15,536"
"2020年","牛久市","","84,651","41,773","42,878"
"2020年","つくば市","","241,656","121,043","120,613"
"2020年","（旧：つくば市）","","219,010","109,964","109,046"
"2020年","（旧：茎崎町）","","22,646","11,079","11,567"
"2020年","ひたちなか市","","156,581","79,293","77,288"
"2020年","鹿嶋市","","66,950","34,434","32,516"
"2020年","潮来市","","27,604","13,672","13,932"
"2020年","（旧：牛堀町）","","4,642","2,264","2,378"
"2020年","（旧：潮来町）","","22,962","11,408","11,554"
"2020年","守谷市","","68,421","34,163","34,258"
"2020年","（旧：守谷町）","","68,421","34,163","34,258"
"2020年","常陸大宮市","","39,267","19,392","19,875"
"2020年","（旧：御前山村）","","3,192","1,564","1,628"
"2020年","（旧：大宮町）","","24,404","11,974","12,430"
"2020年","（旧：山方町）","","5,633","2,796","2,837"
"2020年","（旧：美和村）","","2,955","1,520","1,435"
"2020年","（旧：緒川村）","","3,083","1,538","1,545"
"2020年","那珂市","","53,502","26,047","27,455"
"2020年","（旧：那珂町）","","45,878","22,410","23,468"
"2020年","（旧：瓜連町）","","7,624","3,637","3,987"
